CustomerID,Lookalikes
C0001,"[('C0112', 0.7703516280377065), ('C0004', 0.7129146643405142), ('C0104', 0.7077625018307647)]"
C0002,"[('C0166', 0.8162431401566788), ('C0079', 0.5796021357907992), ('C0078', 0.5778087800629532)]"
C0003,"[('C0191', 0.7085686844005183), ('C0048', 0.6992237288893861), ('C0006', 0.6883819576198578)]"
C0004,"[('C0001', 0.7129146643405142), ('C0104', 0.7129146643405142), ('C0165', 0.6908662881265967)]"
C0005,"[('C0159', 0.630679081158485), ('C0070', 0.5640638259577706), ('C0103', 0.5605277029221951)]"
C0006,"[('C0071', 0.8672757477641712), ('C0191', 0.700139271788739), ('C0048', 0.6909054875551078)]"
C0007,"[('C0053', 0.8441862907680859), ('C0173', 0.6211201748808085), ('C0159', 0.5942935714679158)]"
C0008,"[('C0120', 0.714071045706965), ('C0016', 0.6783773032127429), ('C0035', 0.6586739188710439)]"
C0009,"[('C0062', 0.5690291410854138), ('C0088', 0.5655453276889342), ('C0163', 0.4739914669436348)]"
C0010,"[('C0070', 0.7269875010925808), ('C0103', 0.7224300075415204), ('C0199', 0.6276171857062383)]"
C0011,"[('C0168', 0.7748511994730969), ('C0171', 0.7549407723138492), ('C0158', 0.713072704543538)]"
C0012,"[('C0187', 0.7262163515371192), ('C0191', 0.6563781653947176), ('C0048', 0.6477215243532329)]"
C0013,"[('C0152', 0.6731636560776852), ('C0130', 0.668920363554281), ('C0156', 0.5030330315632059)]"
C0014,"[('C0060', 0.6027602544069632), ('C0064', 0.5743945480127084), ('C0151', 0.5322171287403619)]"
C0015,"[('C0055', 0.5825819772219001), ('C0052', 0.5484669435350908), ('C0126', 0.5484669435350908)]"
C0016,"[('C0026', 0.6898615480187091), ('C0050', 0.6898615480187091), ('C0035', 0.6895705106303169)]"
C0017,"[('C0069', 0.7098162206039004), ('C0019', 0.7018747967808425), ('C0075', 0.6495011280796684)]"
C0018,"[('C0110', 0.810972804879037), ('C0098', 0.7587058888127229), ('C0116', 0.6129532449924034)]"
C0019,"[('C0069', 0.7070394497175588), ('C0017', 0.7018747967808425), ('C0075', 0.6550919307358034)]"
C0020,"[('C0055', 0.7631357036647932), ('C0036', 0.7208828372745729), ('C0116', 0.6766436647889186)]"
